,text,V,A,D
119,he knew he had made a bad mistake but despite his commitment to rebuilding his life he just didnt count on the obstacles that would be thrown up in his path,2.7,3.1,2.9
120,your support of goodwill will provide job training and placement services to help the hardest to serve in central indiana find meaningful employment,3.5,2.8,3.1
121,and with your assistance goodwill can help employers develop resources to keep workers on the job,3.43,2.57,2.86
122,please make an investment in the stability of our community by sending a gift to goodwill,3.29,2.86,3.29
123,your generosity will help people help themselves,3.56,3.33,3.0
124,james m mcclelland president,3.0,2.7,3.0
125,reality hit when he was unable to reconcile with his wife and ended up on the street,2.0,3.5,2.38
126,name address city st zip,3.0,2.5,3.1
127,the trustee referred him to the blue triangle where he consulted goodwills career academy staff for job search assistance,3.2,3.0,3.0
128,jerrys goodwill caseworker found him a job immediately,3.3,3.0,3.0
129,but jerrys troubles didnt end there,2.5,3.25,3.0
130,the seasonal construction job he obtained soon ended and he returned to career academy for help once more,2.89,3.0,3.0
131,when jerry was released from prison he knew it would take hard work and determination to straighten out his life,3.0,2.57,3.57
132,unemployed homeless and with a prison record jerry now faced going back to prison for failure to pay child support,2.2,3.0,2.3
133,such fund are often used for college tuition vocational training or a deposit on an apartment,3.0,3.0,3.1
134,without private donor support this fund doesnt exist,2.29,3.29,2.71
135,sincerely,3.22,3.0,3.0
136,mary roth executive director,2.9,2.9,3.1
137,june 21 1999,3.0,2.75,3.0
138,name address city st zip,3.0,2.9,3.1
139,individuals who are being emancipated are eligible to receive up to 500 from the fund if they formally apply and meet four requirements,3.2,3.1,3.0
140,1 release by the courts,3.0,2.88,3.0
141,2 successful completion of all life skills tests,3.5,3.1,3.5
142,do you remember the combination of elation and apprehension you felt when you first left home,3.1,3.4,3.2
143,3 positive termination of his or her pleasant run program,2.88,2.88,3.25
144,4 possession of a high school diploma or ged,3.29,2.71,3.29
145,proof of meeting these two staff reference letters and an essay stating why they should receive a grant and how it will be used are all reviewed by a pleasant run panel which determines if the applicant merits the funds,3.0,3.1,3.2
146,then the task was to help children who lost parents in the civil war,3.0,3.0,3.0
147,some come from families where through therapy there is hope for reunification,3.3,3.0,3.1
148,for others families are the counselors are housemates at the group homes where they live,3.2,3.0,3.0
149,in 1995 we will serve over 850 children and 340 families,3.5,3.0,3.25
150,in 1996 these figures will triple,3.0,2.9,3.0
151,the children and families who come to pleasant run are given the opportunity to become happy loving and productive members of our society,3.63,2.82,3.27
152,they welcome the chance to belong to become self sufficient to regain their selfesteem and confidence,3.5,3.0,3.38
153,november 27 1995,3.0,2.56,2.89
154,often it is a long hard struggle but the results are well worth it,3.3,3.1,3.0
155,for pleasant run to continue to serve abused and neglected children and their families we need your support,2.7,3.1,2.9
156,the funding sources are shrinking but the needs grow explosively,2.71,3.43,3.14
157,please help good kids get better by sending us a contribution today,3.2,3.6,3.1
158,your gift will give children and families hope for improved tomorrows,3.2,3.0,3.1
159,mary roth,3.0,2.7,2.9
160,older kids like tracy and kerry left homeless after a recent murdersuicide in indianapolis claimed mom and dad,2.1,3.1,2.7
161,young adults like mary t a jobless mother of three trying desperately to keep her kids out of trouble in a crimeridden neighborhood,2.4,3.1,3.1
162,dear friend,3.0,2.71,3.43
163,real people,3.62,3.87,3.0
164,there are thousands more,2.9,2.9,3.0
165,families are being torn apart and too often children are the victims,1.9,3.3,2.9
166,what kind of people benefit by your contribution to pleasant run childrens homes,3.1,2.8,3.1
167,kids like tommie j made a ward of the court because of repeated beatings by an alcoholic father,2.29,3.29,2.86
168,alice sent to a group home to get help because of severe behavior disorders,2.5,2.9,2.8
169,and john h a recovering alcoholic rebuilding a relationships with his family so they can live together again,3.33,3.0,2.78
170,for others its years,2.78,2.67,2.89
171,were proud of our children and all that they overcome,4.0,3.5,3.7
172,we are a notforprofit multiservice agency,3.2,2.8,3.2
173,we wouldnt exist if the need werent there,3.0,2.89,3.11
174,the numbers of children who deserve our services are rising as quickly as our programs can grow to serve them,3.1,3.2,3.0
175,please help us help them,3.43,3.29,3.0
176,pleasant run childrens homes where good kids get better,3.4,2.8,3.2
177,sincerely,3.2,2.7,3.0
178,in spite of that pleasant run childrens homes with the help of hundreds of volunteers and others who really care continues to make a significant impact on the futures of families and kids in need of help,3.57,3.0,3.14
179,dear friend,3.44,3.11,2.78
180,yet few of us hear enough about kids who live through these adversities and do make the grade,3.0,2.38,3.0
181,the positive side,3.7,3.3,3.2
182,these are special children,3.4,2.9,2.9
183,they come into a pleasant run program,2.9,2.8,3.0
184,whether its for therapeutic help in their own homes which nurtures whole families through foster care families or in the familial surroundings of our residential homes,2.88,3.0,2.75
185,your contribution will make a difference in a childs life,3.44,3.33,3.44
186,it can certainly make happy holiday memories,3.78,3.44,3.56
187,a gift to pleasant run means the children in our care will have presents to open,3.55,2.91,3.27
188,a gift means a family will have a holiday meal cooking utensils to prepare the meal and dishes to serve it on,3.33,2.89,3.0
189,your gift will go beyond the holiday season,3.5,3.3,3.2
190,it can help purchase clothing school supplies books and educational tools throughout the year,3.29,2.86,3.0
191,please take a few minutes to mail a donation to pleasant run,3.25,3.12,3.25
192,we wish you and your family a new year full of joy and love,4.3,3.6,2.9
193,sincerely,3.12,3.0,3.12
194,mary roth executive director,3.0,2.6,3.0
195,this is the time of year when we give thanks for the warmth and love that surrounds us,4.0,3.43,3.29
196,and this time of year is an occasion to remember those not as fortunate as we are,2.7,2.9,2.8
197,pleasant run cares for atrisk children and families,3.2,3.1,3.1
198,we do this through a wide range of programs including community based therapeutic foster care group homes and our treatment center,3.0,2.62,3.13
199,today we are asking you to take a few minutes to consider making a contribution to pleasant run to help the 1500 children families we care for,3.12,3.0,3.0
200,many of the children have no homes no memories of joy from past holidays,2.12,3.25,2.75
201,if you are interested and would like more information please contact lisa lusk or marcia whited at 6939222,3.0,2.88,3.0
202,we would like to have families matched with sponsors non later than xxxx,3.0,3.0,3.14
203,thank you for considering this opportunity to make this a memorable holiday season for a family in need,3.78,3.22,3.44
204,its hard to believe that the holiday season is only two months away,3.1,3.3,3.3
205,every year we seek companies organizations and individuals to sponsor one or more of our families,3.1,2.9,3.0
206,these families are participants in our communitybased programs,3.1,2.9,3.1
207,these programs focus on keeping the family together by providing counseling and other services to the entire family,3.4,3.0,3.3
208,after our caseworkers meet with these families and their children they often find they lack even the basic necessities such as cooking utensils beds cleaning supplies etc,2.5,2.8,3.0
209,we meet these needs immediately,3.1,3.1,3.3
210,but the holiday season is a particularly difficult time for these families,2.25,2.88,3.0
211,we are asking you to consider sponsoring one of our families for this holiday season,3.1,3.2,3.3
212,it costs 225 to send one child to camp,2.9,3.0,3.0
213,many members of the boys girls clubs of indianapolis cant afford to go to camp without financial assistance and thats why we need you,3.1,3.4,3.2
214,please make camp possible for all deserving indianapolis children and send in a tax deductible contribution today in the enclosed envelope,3.11,3.11,3.11
215,consider sponsoring 1 2 or 3 children,3.22,3.33,3.22
216,sincerely,3.0,2.83,3.0
217,richard dickinson,3.0,2.8,3.0
218,sponsor a child at the boys girls clubs of indianapolis summer camp today,3.67,3.67,3.67
219,six weeks of learning and exploring sports arts and fellowship,3.2,2.6,3.0
220,a time for a youngster to enjoy the fun and benefits of residential camp living dedicated staff and instruction and a chance to make special friends,3.14,2.86,3.0
221,i know youre committed to ensuring todays children have safe healthy and positive summer experiences,3.6,3.2,3.3
222,thats why i want you to learn more about the super summer safari camp,3.14,3.0,3.0
223,at super summer safari camp there are daily sports nature and arts activities,3.29,2.71,3.29
224,dear friend,3.4,3.3,2.9
225,in addition to the fun stuff important lifeskills such as selfesteem leadership and interpersonal cooperation are being developed,3.1,3.2,3.0
226,its summertime so it must be time for camp,4.0,4.1,3.0
227,we are counting on you now to help us get where we need to be tomorrow,3.0,3.11,3.22
228,would you please consider a gift of the same in 1999,3.0,3.0,2.71
229,please give generously,2.83,3.0,2.83
230,the kids are depending on you,3.1,3.2,3.4
231,respectfully,3.0,2.9,2.9
232,james campbell president of the board deputy chief indianapolis police department,3.0,2.71,3.0
233,a united way agency,3.11,2.67,3.0
234,please detach and return in the enclosed envelope,3.0,2.9,3.0
235,youngsters often find themselves feeling alienated and alone,2.45,3.0,2.45
236,february 26 1999,3.0,2.7,3.0
237,thats where the boys girls clubs of indianapolis come in,3.11,3.0,3.11
238,we reach out to kids especially those from disadvantaged neighborhoods where the risks are highest,3.3,3.0,3.3
239,kids today face overwhelming pressures everything from trouble at home to gangs and drugs,2.2,3.0,2.8
240,money for programs for equipment and for repairs and improvements to club facilities,3.2,2.9,3.1
241,your contribution last year of helped us get where we are today,3.9,3.1,3.4
242,in addition we will have soft drinks and a raffle so that you can walk home with a great prize,3.5,3.8,3.6
243,the jameson grill has been designed to be nothing but fun for you your family employees and maybe even your neighbors,3.33,3.22,2.89
244,join in this wonderful event and help jameson camp continue to provide the yearround support that gives kids a chance to create dreams,3.4,3.3,3.1
245,simply fill out the enclosed card and we will see you at the grill,3.5,3.5,3.38
246,one of our volunteers will be contacting you soon,3.14,2.86,3.43
247,call pat bray at 2412661 or email jcfundrzraolcom,3.1,2.9,3.1
248,come one come all to the inaugural jameson grill,3.75,3.63,3.12
249,a fund raiser dedicated to you and your family having fun,3.9,3.8,3.1
250,,3.33,3.44,3.22
251,for this event when you purchase a corporate picnic table you will be able to bring 16 people,3.3,3.0,3.2
252,the grill will feature enough activities that you and your kids will have a tough time deciding what to do,3.0,2.75,3.0
253,from basketball kickball volleyball archery crafts an egg toss and even a walk through our creek you will have plenty to do to get you good and hungry,3.4,3.2,3.0
254,hungry you bet,3.0,3.62,3.62
255,well prepare a hog roast and hot dogs for the kids with all the fixings,3.8,3.5,3.3
256,this event is designed to be fun for campers their families friends of the camp neighbors staff and anyone interested in finding out more about jameson,3.29,3.43,3.14
257,in short fun for everyone,4.2,4.0,3.3
258,can you help support this wonderful event by furnishing any type of products or services that can be used as prizes for our activities or as a raffle prize,3.34,2.89,3.34
259,your contribution will help with funding so jameson camp can continue providing the yearround camping experience that gives kids a chance to create dreams,3.4,3.3,3.2
260,july 11 1997,2.89,2.67,3.22
261,or you can fax us at 2412760 or email icfundrzraolcom,3.0,2.6,3.2
262,your quick response will help us begin organizing our prizes,3.22,3.11,3.33
263,after we receive your commitment we will contact you about picking up your contribution,3.2,2.6,3.0
264,if you have any questions please call me at 2412661,3.12,3.12,3.12
265,we appreciate your support of our first event of this type,3.62,3.38,3.25
266,sincerely,2.8,2.8,3.0
267,help blaze the trail 1997 jameson camp,3.1,3.2,3.1
268,thank you for your last annual fund gift,3.9,3.4,3.2
269,the camp offers summer residential programs for children from ages 717 and continues contact with the campers and their families with special overnight and weekend followup events during the school year,3.09,2.73,3.0
270,name address city state zip,3.0,2.6,3.0
271,all children who attend the camp are referred by social workers doctors teachers counselors and other professionals,2.92,2.5,2.92
272,many of the children have learning disabilities behavioral problems or come from economically distressed families,2.5,2.88,2.88
273,dear mrmrs name,3.0,3.0,3.0
274,the goal of our organized camping experience is to improve the total health of the children socially emotionally and physically,3.3,3.4,3.2
275,this year jameson camp is planning an inaugural fundraising event the jameson grill,3.4,3.1,3.1
276,two of them told me yesterday that as a group they decided they had to earn the right to ask others for help by accomplishing something real to help themselves,3.4,2.9,3.2
277,i hope youll consider continuing your support of jamesons special campers by renewing your last gift of xxx,3.25,3.0,3.25
278,and thats from kids many people see as a problem,2.55,2.91,3.0
279,even after the summer sessions come to a close jameson campers will take part in yearround programs designed to keep that positive contact with peers and role models alive and important,3.3,3.3,3.2
280,weve scheduled more than 15 followup camper weekends beginning in september and going around till next summers camping season,3.4,3.2,3.3
281,sincerely,3.0,2.9,3.0
282,we know our followup weekends are going to be better attended than ever this fall and winter,3.6,3.5,3.4
283,if you can give a little more to help meet this increased expense we would appreciate your support,3.1,2.9,3.0
284,july 251997,3.0,2.2,3.2
285,i can tell you we need your help now as much as ever before,3.11,3.11,2.67
286,all of our six summer camping sessions are booked to capacity and truth be told with maybe one our two extra returning campers squeezed in and we have a waiting list of 60 children who are hoping to come if a spot should open,3.2,3.2,3.0
287,dear name,3.0,2.4,3.0
288,what a summer,3.5,3.8,3.2
289,many more camper referrals are coming from new organizations such as school socialworkers and family counseling agencies,3.1,3.0,3.1
290,it seems summer options arent readily available for troubled kids whose families have limited incomes so were doing all we can to make jameson available,2.8,3.1,3.1
291,and were just getting started,3.5,3.5,3.5
292,that we includes the youth leadership teens,3.0,2.9,3.1
293,these 60 or so campers have takenon a fund raiser with a goal of raising 16000 for camperships,3.25,3.62,3.25
294,an understanding that above anything else success requires genuine effort a willingness to set challenging goals,3.29,3.29,3.29
295,in just the past few years this program has grown from a few kids and a few extra activities to a team of almost 60 young adults taking on real projects,3.0,3.0,3.0
296,yl teens will make jc juniors happen again this year for 7 and 8 year old campers,3.09,2.73,3.0
297,a five day camp jc juniors introduces atrisk children to jameson two years earlier than we could previously reach them,3.6,3.0,2.9
298,that means we now have the opportunity to be a stable positive and important part of each childs life for an entire decade,3.9,3.5,3.4
299,the teens have also decided to raise money to provide camperships for other campers because they know what jameson has meant to them,3.3,3.1,3.3
300,and their activities arent isolated to jameson,3.0,2.36,3.0
301,the teens have undertaken a volunteer project to regularly visit with sick children at a local hospital,3.5,2.7,2.9
302,june 10 1997,3.0,2.75,3.0
303,please consider renewing your gift today,3.1,2.9,3.0
304,the kids need your leadership now more than ever,3.0,2.88,3.0
305,if you can increase your last donation we would appreciate that show of support for the campers and their efforts to overcome obstacles and create successful lives,3.0,3.2,2.5
306,thank you again for helping point the way,4.11,3.22,3.0
307,sincerely,3.0,2.88,2.88
308,julie marsh executive director,3.0,2.67,2.89
309,ps,3.0,2.63,3.12
310,these are the attributes we want all children to have,3.14,3.14,3.14
311,you help jameson campers reach for them,3.2,3.0,3.3
312,if these special children are to become the adults we all need them to be we have to lead them in the right direction right now,3.4,3.4,3.5
313,name address city st zip,2.88,2.63,2.88
314,jameson points the way for children who need that extra hand and i hope youll continue your support this year,3.11,2.89,2.89
315,youre last gift of 5000 helped make it possible for us to provide guidance encouragement and fun to nearly 400 indianapolis area children,3.5,3.3,3.0
316,what has your support of our campers meant to them and what have they been able to accomplish because you care,2.75,3.25,3.0
317,confidence,3.4,2.9,3.3
318,the best indicator i can give you of the positive effect our yearround contact has is the growth in and deeds of the youth leadership teens,3.5,3.3,3.4
319,the summer enrichment program will conclude with a celebration that includes family and friends,3.25,3.12,3.0
320,we would like to offer our youth a small reward for their participation by presenting them with gift certificates from target,3.0,3.0,3.0
321,therefore we are asking you to donate 45 10 gift certificates that can be used toward the purchase of school supplies or clothing in the total amount of 450,3.0,2.86,3.14
322,in return we will recognize target as a sponsor during our event and in the event program,3.12,2.75,3.25
323,target is well known for its support of the community and we believe that the summer enrichment program represents your interests and concerns quite well,3.3,3.1,3.2
324,i will be happy to supply any additional information you may need and thank you for your consideration of our request,3.6,3.2,3.3
325,we look forward to hearing from you,3.6,3.6,3.1
326,sincerely,3.0,2.8,3.0
327,valery de long director of development,2.88,2.75,3.12
328,in 1998 we served a total of 31484 lowincome individuals through job training and placement assistance youth and senior programming family counseling emergency assistance and much more,3.1,3.1,3.0
329,name address city st zip,3.0,2.82,3.0
330,as you can see from the enclosed map your target store is located in the heart of four of our service areas,3.14,3.0,3.14
331,the centers that serve these areas mary rigg neighborhood center hawthorne community center southwest multiservice center and christamore house have teamed up to run an exciting job readiness program for 14 and 15 year old area residents called the summer enrichment program,3.5,3.4,3.2
332,cci is a federation of 13 neighborhoodbased multiservice centers whose mission is to identify and meet the human service needs of residents throughout marion county in the most effective efficient and comprehensive way possible,3.12,2.88,3.25
333,between june 21 and august 31 45 youth will spend 20 hours a week developing life management and work ethic skills learning the computer visiting area colleges and interacting with guest speakers,3.1,2.9,3.2
334,with this in mind i am asking each one of you to make a personal contribution of 50 100 or even 1000 to show that you believe in the work that we do and are willing to support it with both your time and your finances,3.3,3.3,3.4
335,cci has come a long way in the last five years,3.2,3.0,3.1
336,this way when we go out to ask for community support and are asked about our board giving level we can show our inhouse commitment through 100 board participation,3.12,2.5,2.88
337,i also encourage you to seek additional support through your company church or service organization,3.0,3.0,3.1
338,weve worked hard to structrue the organization so that weve ready to move boldly into the next century and i believe that we have an exciting and successful future ahead of us,3.7,3.5,3.3
339,your financial support of the development process is just one step in making cci a stronger more efficient and ultimately more effective federation of service providers,3.63,3.27,3.37
340,mmm fname lname title company address cityst zip march 4 1999,2.91,2.73,2.91
341,please make your contribution today,3.1,2.9,2.9
342,sincerely,2.89,2.78,2.89
343,jchris graffeo chair,3.0,3.0,3.0
344,ps,2.9,2.8,3.3
345,if you have any questions feel free to call valery de long at cci 6383360 x23,3.0,2.8,3.2
346,one of the areas weve decided to focus on is development,3.12,2.62,3.12
347,its clear that if we dont increase our base of private funding we wont have the kind of control we need to ensure the continued success of our centers and the very important services they offer,2.9,3.1,3.1
348,in 1998 cci served 31484 individuals right in their own backyards,2.9,3.1,3.1
349,the community initiatives committee is working with our development office to put together a longrange fundraising plan that will ultimately bring more money into our centers,3.6,3.1,3.0
350,dear ltrname,3.0,2.44,3.0
351,this in turn will help us to increase and even improve the services we offer,3.44,2.67,3.0
352,hippy home instructional program for preschool youngsters for families,3.27,2.73,3.36
353,stopover crises counseling for youth,2.8,3.0,2.9
354,in home services for adults and seniors,3.17,3.0,3.17
355,transportation for youth and seniors,3.0,2.8,3.1
356,cci is a federation of 13 neighborhoodbased multiservice centers plus one affiliate whose mission is to identify and meet the human service needs of the greater indianapolis community in the most effective efficient and comprehensive way possible,3.3,3.2,3.1
357,answer 34700 opportunities to change a life,3.5,3.5,3.1
358,better yet most of these services occur in cooperation with private and public agencies from all over the city cicoa the access network goodwill industries indianapolis housing agency city of indianapolis indianapolis private industry council family and social services administration otc indy parks and numerous community development corporations neighborhood organizations and churches to name just a few,2.9,3.1,3.1
359,this is exactly what happened in 1997 when community centers of indianapolis provided its comprehensive neighborhoodbased services to individuals and families all over marion county,2.9,3.1,2.8
360,more than 34000 people benefited from our services in 1997 and the final count for 1998 could be even higher,3.3,3.1,3.1
361,were asking for a contribution in the amount of because you cant got a better bang for your buck than to support an organization that impacts so many lives in so many ways,3.2,3.2,3.4
362,please make a tax deductible gift to community centers of indianapolis in 1999 and know that company is playing an important part in meeting the needs of its community,3.3,3.0,3.1
363,if you have any questions please feel free to give us a call at 6383360,3.0,2.8,3.1
364,we thank you for your consideration and look forward to hearing from you,3.6,2.9,3.0
365,earline s moore president,3.0,2.8,3.2
366,valery de long director of development,3.0,2.8,2.9
367,and we can do even more in 1999 with your financial support,3.0,3.14,3.0
368,just look at the range of services we offer,3.11,2.56,3.11
369,700001 career assistance for youth,3.18,3.0,3.0
370,preschool for young children,3.0,2.89,3.0
371,question what do you get in 987165 hours with 291people in 15 locations,3.0,3.12,3.25
372,school age child care for and children and youth,3.3,3.1,3.0
373,adult day care for seniors,3.0,3.0,3.1
374,senior case management aids education for youth and adults,3.38,2.5,3.12
375,senior nutrition meal program,3.0,2.89,3.11
376,day care for young children,3.33,2.78,3.22
377,in 1998 mccoy inc led two efforts that we believe will help our community continue to take the steps necessary to help all young people grow up and develop well,3.12,3.0,3.0
378,two funding was made available this summer for youth organizations and churches to conduct positive youth programming on saturday evenings,3.3,3.1,3.1
379,through the youth mapping process it was confirmed that the positive opportunities for youth on weekend evenings were lacking,2.6,2.8,2.9
380,that need is being met,3.3,3.2,3.4
381,august 4 1999,3.0,3.0,2.89
382,as it has been an exciting year for all of us mccoy inc can not do its part without the support of organizations like yours,3.3,3.3,3.1
383,annually we ask several of our youth serving organizations to join us in our effort to help young people grow up well in indianapolis,3.12,2.63,3.12
384,enclosed is a donation card that will enable you to make indianapolis a great place for all of us to live,3.36,3.09,3.27
385,if you have any questions or concerns at any time please do not hesitate to call me at 9211288,3.0,2.8,2.9
386,sincerely,2.9,2.7,3.0
